"","date","revenue","cost","profit","orders_count","produced_items","users_active","users_dropped_out","complaints_opened","complaints_closed","profit.perc_prev_month","profit.perc_prev_year","cost.perc_prev_month","cost.perc_prev_year","orders_count.perc_prev_month","orders_count.perc_prev_year","revenue.perc_prev_month","revenue.perc_prev_year","produced_items.perc_prev_month","produced_items.perc_prev_year","users_active.perc_prev_month","users_active.perc_prev_year","users_dropped_out.perc_prev_month","users_dropped_out.perc_prev_year","complaints_opened.perc_prev_month","complaints_opened.perc_prev_year","complaints_closed.perc_prev_month","complaints_closed.perc_prev_year"
"1",2015-01-01,81920,16055,65865,4096,3273,20290,4035,2772,2389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2015-02-01,75240,14620,60620,3762,2980,18576,3720,2534,2198,1.9,NA,0.82,NA,1.69,NA,1.69,NA,0.8,NA,1.36,NA,2.07,NA,1.21,NA,1.86,NA
"3",2015-03-01,70840,16080,54760,3542,3278,18074,3606,2759,2384,-18.41,NA,-0.66,NA,-14.96,NA,-14.96,NA,-0.65,NA,-12.12,NA,-12.45,NA,-1.66,NA,-2.03,NA
"4",2015-04-01,66560,15380,51180,3328,3136,17092,3418,2639,2281,-3.42,NA,-1.17,NA,-2.91,NA,-2.91,NA,-1.14,NA,-2.28,NA,-2.05,NA,-1.16,NA,-1.13,NA
"5",2015-05-01,72140,16430,55710,3607,3348,18334,3674,2782,2410,5.34,NA,3.38,NA,4.89,NA,4.89,NA,3.32,NA,3.81,NA,4.02,NA,2.02,NA,2.25,NA
"6",2015-06-01,71160,15410,55750,3558,3142,18012,3586,2717,2357,3.41,NA,-3.08,NA,1.93,NA,1.93,NA,-3.02,NA,1.52,NA,0.86,NA,0.92,NA,1.06,NA
"7",2015-07-01,73880,16130,57750,3694,3288,18682,3721,2822,2454,0.25,NA,1.3,NA,0.47,NA,0.47,NA,1.27,NA,0.37,NA,0.42,NA,0.51,NA,0.76,NA
"8",2015-08-01,73900,15830,58070,3695,3228,18686,3759,2820,2442,0.55,NA,-1.86,NA,0.03,NA,0.03,NA,-1.82,NA,0.02,NA,1.02,NA,-0.07,NA,-0.49,NA
"9",2015-09-01,69160,15705,53455,3458,3201,17612,3513,2692,2332,-4.88,NA,2.52,NA,-3.29,NA,-3.29,NA,2.47,NA,-2.61,NA,-3.43,NA,-1.36,NA,-1.32,NA
"10",2015-10-01,75940,15670,60270,3797,3196,19094,3845,2810,2438,9.11,NA,-3.44,NA,6.26,NA,6.26,NA,-3.38,NA,4.92,NA,5.92,NA,1.02,NA,1.17,NA
"11",2015-11-01,76100,15755,60345,3805,3211,19000,3782,2716,2360,3.46,NA,3.89,NA,3.55,NA,3.55,NA,3.82,NA,2.82,NA,1.64,NA,-0.12,NA,0.03,NA
"12",2015-12-01,76020,15970,60050,3801,3256,19110,3841,2845,2469,-3.7,NA,-1.91,NA,-3.33,NA,-3.33,NA,-1.87,NA,-2.67,NA,-1.72,NA,1.37,NA,1.24,NA
"13",2016-01-01,74960,15840,59120,3748,3230,18898,3771,2771,2403,-1.55,-10.24,-0.81,-1.34,-1.39,-8.5,-1.39,-8.5,-0.8,-1.31,-1.11,-6.86,-1.82,-6.54,-2.6,-0.04,-2.67,0.59
"14",2016-02-01,69640,15110,54530,3482,3080,17582,3528,2610,2260,-1.4,-13.15,1.97,-0.21,-0.69,-10.63,-0.69,-10.63,1.93,-0.21,-0.55,-8.61,0.01,-8.43,0.69,-0.55,0.54,-0.72
"15",2016-03-01,77280,16025,61255,3864,3267,19362,3856,2800,2429,5.09,11.86,-0.79,-0.34,3.81,9.09,3.81,9.09,-0.77,-0.34,3.02,7.13,2.25,6.93,0.36,1.49,0.54,1.89
"16",2016-04-01,72480,15145,57335,3624,3089,18276,3674,2680,2318,-3.28,12.03,-2.34,-1.53,-3.08,8.89,-3.08,8.89,-2.3,-1.5,-2.46,6.93,-1.54,7.49,-1.1,1.55,-1.39,1.62
"17",2016-05-01,72560,16075,56485,3628,3277,18418,3679,2800,2429,-4.66,1.39,2.72,-2.16,-3.12,0.58,-3.12,0.58,2.66,-2.12,-2.47,0.46,-3.09,0.14,1.11,0.65,1.41,0.79
"18",2016-06-01,76380,15500,60880,3819,3160,19056,3807,2712,2352,11.37,9.2,-0.36,0.58,8.77,7.34,8.77,7.34,-0.36,0.57,6.91,5.8,6.93,6.16,0.09,-0.18,0.06,-0.21
"19",2016-07-01,73420,15620,57800,3671,3186,18590,3727,2807,2436,-8.12,0.09,-2.48,-3.16,-6.98,-0.62,-6.98,-0.62,-2.43,-3.1,-5.59,-0.49,-5.26,0.16,0.16,-0.53,0.23,-0.73
"20",2016-08-01,72140,15875,56265,3607,3237,18334,3644,2769,2394,-2.66,-3.11,1.63,0.28,-1.74,-2.38,-1.74,-2.38,1.6,0.28,-1.38,-1.88,-2.23,-3.06,-1.35,-1.81,-1.72,-1.97
"21",2016-09-01,70820,16090,54730,3541,3278,17944,3593,2704,2350,0.51,2.39,4.73,2.45,1.44,2.4,1.44,2.4,4.64,2.41,1.14,1.89,1.89,2.28,0.91,0.45,1.43,0.77
"22",2016-10-01,73100,15660,57440,3655,3194,18526,3716,2801,2428,1.57,-4.7,-5.81,-0.06,-0.11,-3.74,-0.11,-3.74,-5.71,-0.06,-0.09,-2.97,0.09,-3.36,0.25,-0.32,-0.01,-0.41
"23",2016-11-01,66840,15385,51455,3342,3137,17148,3440,2669,2305,-7.43,-14.73,1.52,-2.35,-5.52,-12.17,-5.52,-12.17,1.49,-2.3,-4.35,-9.75,-4.34,-9.04,-1.54,-1.73,-1.9,-2.33
"24",2016-12-01,68420,16010,52410,3421,3264,17590,3508,2787,2419,-1.43,-12.72,0.71,0.25,-0.94,-10,-0.94,-10,0.69,0.25,-0.73,-7.95,-1.31,-8.67,1.05,-2.04,1.56,-2.03
"25",2017-01-01,76140,16235,59905,3807,3309,19134,3817,2803,2427,14.3,1.33,1.41,2.49,11.28,1.57,11.28,1.57,1.38,2.45,8.78,1.25,8.81,1.22,0.57,1.15,0.33,1
"26",2017-02-01,67220,14420,52800,3361,2940,16972,3391,2532,2198,-2.42,0.29,-1.66,-1.16,-2.26,-0.03,-2.26,-0.03,-1.63,-1.14,-1.8,-0.02,-1.64,-0.45,0.01,0.48,0.27,0.73
"27",2017-03-01,70460,15840,54620,3523,3230,17998,3601,2762,2389,-6.56,-10.83,-0.78,-1.15,-5.32,-8.83,-5.32,-8.83,-0.77,-1.13,-4.22,-7.04,-4.08,-6.61,-1.47,-1.36,-1.83,-1.65
"28",2017-04-01,68360,15520,52840,3418,3164,17452,3490,2687,2325,-0.03,-7.84,1.25,2.48,0.25,-5.68,0.25,-5.68,1.22,2.43,0.2,-4.51,0.15,-5.01,0.53,0.26,0.57,0.3
"29",2017-05-01,71400,16100,55300,3570,3282,18186,3660,2812,2441,1.28,-2.1,0.39,0.16,1.08,-1.6,1.08,-1.6,0.38,0.15,0.84,-1.26,1.49,-0.52,1.28,0.43,1.6,0.49
"30",2017-06-01,66840,15315,51525,3342,3123,17148,3403,2635,2279,-3.72,-15.37,-1.7,-1.19,-3.27,-12.49,-3.27,-12.49,-1.67,-1.17,-2.56,-10.01,-3.92,-10.61,-3.17,-2.84,-3.52,-3.1
"31",2017-07-01,72620,15595,57025,3631,3181,18430,3685,2840,2465,7.1,-1.34,-1.46,-0.16,5.14,-1.09,5.14,-1.09,-1.43,-0.16,4.01,-0.86,4.79,-1.13,4.3,1.18,4.67,1.19
"32",2017-08-01,74520,16090,58430,3726,3280,18810,3771,2840,2467,2.46,3.85,3.17,1.35,2.62,3.3,2.62,3.3,3.11,1.33,2.06,2.6,2.33,3.49,0,2.56,0.08,3.05
"33",2017-09-01,116300,15805,100495,5815,3221,27040,5391,2671,2315,77.73,83.62,1.5,-1.77,61.27,64.22,61.27,64.22,1.47,-1.74,48.55,50.69,47.72,50.04,-2.82,-1.22,-3.03,-1.49
"34",2017-10-01,131880,15905,115975,6594,3243,30282,6037,2779,2402,11.68,101.91,-2.61,1.56,9.74,80.41,9.74,80.41,-2.56,1.53,8.38,63.46,8.37,62.46,0.69,-0.79,0.41,-1.07
"35",2017-11-01,127100,15505,111595,6355,3161,29200,5838,2699,2343,-0.57,116.88,0.73,0.78,-0.41,90.16,-0.41,90.16,0.72,0.77,-0.36,70.28,-0.07,69.71,0.36,1.12,0.8,1.65
"36",2017-12-01,129620,16305,113315,6481,3323,29830,5987,2835,2460,-1.73,116.21,1.77,1.84,-1.31,89.45,-1.31,89.45,1.73,1.81,-1.14,69.58,-0.76,70.67,1.65,1.72,1.61,1.69
"37",2018-01-01,132980,16425,116555,6649,3347,30502,6081,2784,2414,2.86,94.57,0.74,1.17,2.59,74.65,2.59,74.65,0.72,1.15,2.25,59.41,1.57,59.31,-1.8,-0.68,-1.87,-0.54
"38",2018-02-01,117880,14010,103870,5894,2858,27104,5431,2510,2177,-1.34,96.72,-5.56,-2.84,-1.86,75.36,-1.86,75.36,-5.46,-2.79,-1.62,59.7,-1.12,60.16,-0.18,-0.87,-0.16,-0.96
"39",2018-03-01,129860,16400,113460,6493,3342,29878,5979,2788,2414,-1.34,107.73,5.73,3.54,-0.5,84.3,-0.5,84.3,5.62,3.47,-0.43,66.01,-0.56,66.04,0.33,0.94,0.16,1.05
"40",2018-04-01,124540,15655,108885,6227,3191,28688,5745,2716,2357,-0.83,106.07,-1.36,0.87,-0.9,82.18,-0.9,82.18,-1.34,0.85,-0.78,64.38,-0.71,64.61,0.66,1.08,0.89,1.38
"41",2018-05-01,128640,16045,112595,6432,3271,29634,5923,2827,2453,0.07,103.61,-0.81,-0.34,-0.04,80.17,-0.04,80.17,-0.8,-0.34,-0.03,62.95,-0.23,61.83,0.73,0.53,0.72,0.49
"42",2018-06-01,125520,15385,110135,6276,3137,28884,5765,2711,2352,1.08,113.75,-0.92,0.46,0.83,87.79,0.83,87.79,-0.9,0.45,0.72,68.44,0.58,69.41,-0.91,2.88,-0.92,3.2
"43",2018-07-01,131700,16125,115575,6585,3287,30246,6032,2822,2447,1.55,102.67,1.43,3.4,1.54,81.35,1.54,81.35,1.4,3.33,1.34,64.11,1.26,63.69,0.74,-0.63,0.68,-0.73
"44",2018-08-01,148420,16180,132240,7421,3298,33590,6743,2804,2431,14.42,126.32,0.34,0.56,12.7,99.17,12.7,99.17,0.33,0.55,11.06,78.58,11.79,78.81,-0.64,-1.27,-0.65,-1.46
"45",2018-09-01,143960,15365,128595,7198,3133,32572,6492,2663,2308,0.49,27.96,-1.87,-2.78,0.23,23.78,0.23,23.78,-1.84,-2.73,0.2,20.46,-0.51,20.42,-1.86,-0.3,-1.89,-0.3
"46",2018-10-01,148960,15845,133115,7448,3231,33698,6757,2828,2457,0.18,14.78,-0.2,-0.38,0.14,12.95,0.14,12.95,-0.2,-0.37,0.12,11.28,0.72,11.93,2.77,1.76,3.02,2.29
"47",2018-11-01,143960,15790,128170,7198,3218,32572,6517,2702,2342,-0.51,14.85,2.97,1.84,-0.14,13.27,-0.14,13.27,2.92,1.8,-0.12,11.55,-0.34,11.63,-1.27,0.11,-1.5,-0.04
"48",2018-12-01,143660,15730,127930,7183,3208,32638,6512,2823,2446,-3.41,12.9,-3.59,-3.53,-3.43,10.83,-3.43,10.83,-3.53,-3.46,-3.03,9.41,-3.3,8.77,1.11,-0.42,1.07,-0.57
"49",2019-01-01,151340,15960,135380,7567,3254,34174,6818,2806,2438,5.82,16.15,1.46,-2.83,5.35,13.81,5.35,13.81,1.43,-2.78,4.71,12.04,4.7,12.12,-0.6,0.79,-0.33,0.99
"50",2019-02-01,135480,14540,120940,6774,2964,30624,6129,2466,2128,-1.09,16.43,0.86,3.78,-0.89,14.93,-0.89,14.93,0.85,3.71,-0.79,12.99,-0.47,12.85,-2.7,-1.75,-3.36,-2.25
"51",2019-03-01,156280,16255,140025,7814,3313,35162,7019,2771,2400,4.58,23.41,0.98,-0.88,4.19,20.34,4.19,20.34,0.96,-0.87,3.71,17.69,3.44,17.39,1.49,-0.61,1.87,-0.58
"52",2019-04-01,141740,15660,126080,7087,3192,32128,6430,2709,2346,-6.96,15.79,-0.45,0.03,-6.28,13.81,-6.28,13.81,-0.44,0.03,-5.58,11.99,-5.34,11.92,1.02,-0.26,1.01,-0.47
"53",2019-05-01,144820,15735,129085,7241,3209,32870,6575,2795,2424,-0.92,14.65,-2.76,-1.93,-1.12,12.58,-1.12,12.58,-2.71,-1.9,-0.99,10.92,-1.04,11.01,-0.15,-1.13,-0.01,-1.18
"54",2019-06-01,164800,15620,149180,8240,3184,36740,7338,2688,2327,19.42,35.45,2.58,1.53,17.59,31.29,17.59,31.29,2.53,1.5,15.5,27.2,15.32,27.29,-0.62,-0.85,-0.8,-1.06
"55",2019-07-01,199180,16090,183090,9959,3280,43742,8745,2809,2439,18.77,58.42,-0.31,-0.22,16.96,51.24,16.96,51.24,-0.31,-0.21,15.22,44.62,15.33,44.98,1.13,-0.46,1.43,-0.33
"56",2019-08-01,208120,15860,192260,10406,3234,45530,9108,2800,2428,5.01,45.39,-1.43,-1.98,4.49,40.22,4.49,40.22,-1.4,-1.94,4.09,35.55,4.15,35.07,-0.32,-0.14,-0.45,-0.12
"57",2019-09-01,202760,15335,187425,10138,3127,44332,8877,2666,2308,0.73,45.75,-0.09,-0.2,0.67,40.84,0.67,40.84,-0.09,-0.19,0.61,36.1,0.71,36.74,-1.61,0.11,-1.77,0
"58",2019-10-01,207260,16185,191075,10363,3299,45358,9057,2792,2421,-1.34,43.54,2.14,2.15,-1.08,39.14,-1.08,39.14,2.1,2.1,-0.99,34.6,-1.26,34.04,1.35,-1.27,1.51,-1.47
"59",2019-11-01,200220,15430,184790,10011,3146,43824,8784,2680,2319,-0.07,44.18,-1.49,-2.28,-0.18,39.08,-0.18,39.08,-1.46,-2.24,-0.16,34.55,0.22,34.79,-0.81,-0.81,-1.02,-0.98
"60",2019-12-01,202000,15980,186020,10100,3258,44306,8856,2832,2455,-2.58,45.41,0.22,1.59,-2.37,40.61,-2.37,40.61,0.22,1.56,-2.16,35.75,-2.43,36,2.26,0.32,2.45,0.37
"61",2020-01-01,202860,16070,186790,10143,3276,44478,8895,2794,2424,0.41,37.97,0.56,0.69,0.43,34.04,0.43,34.04,0.55,0.68,0.39,30.15,0.44,30.46,-1.34,-0.43,-1.26,-0.57
"62",2020-02-01,192660,15280,177380,9633,3114,42186,8421,2621,2273,1.51,41.61,1.64,1.47,1.52,37.3,1.52,37.3,1.61,1.44,1.39,33,1.2,32.66,0.28,2.62,0.24,3.13
"63",2020-03-01,207400,15955,191445,10370,3253,45386,9075,2759,2387,0.97,36.72,-2.32,-1.85,0.71,32.71,0.71,32.71,-2.28,-1.81,0.64,29.08,0.81,29.29,-1.53,-0.43,-1.76,-0.54
"64",2020-04-01,196220,15610,180610,9811,3182,43024,8600,2714,2353,-2.51,43.25,1.1,-0.32,-2.24,38.44,-2.24,38.44,1.08,-0.31,-2.04,33.91,-2.08,33.75,1.65,0.18,1.86,0.3
"65",2020-05-01,66060,5255,60805,3303,1071,14472,2898,915,797,1,46.02,0.99,3.53,1,41.41,1,41.41,0.97,3.46,0.91,36.49,1.09,36.64,1.14,1.48,1.61,1.93
"66",2020-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2020-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2020-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2020-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2020-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2020-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2020-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
